id,first_name,last_name,occupation,skill
1379,Danielle,Fishel,Actress,National Lampoon Presents Dorm Daze
1380,Peggy,Lipton,Actress,The Postman
1381,Candace Cameron,Bure,Actress,Some Kind of Wonderful
1382,Jane,Seymour,Actress,Wedding Crashers
1383,Alana De La,Garza,Actress,Mr. Fix It
1384,Bill,Hader,Actor,Superbad
1385,Tamzin,Merchant,Actress,Jane Eyre
1386,Emmanuelle,Vaugier,Actress,Saw II
1387,Tamsin,Greig,Actress,Shaun of the Dead
1388,Patricia,Heaton,Actress,Space Jam
1389,Anna,Camp,Actress,The Help
1390,Martin,Short,Actor,Frankenweenie
1391,Joss,Whedon,Writer,The Avengers
1392,Gabriella,Wilde,Actress,Carrie
1393,Freddie Prinze,Jr.,Actor,Scooby-Doo
1394,Alicia von,Rittberg,Actress,Fury
1395,Sean,Faris,Actor,Never Back Down
1396,Kristy,Swanson,Actress,Dude
1397,Ethan,Embry,Actor,Harold & Kumar Go to White Castle
1398,Bob,Hoskins,Actor,Who Framed Roger Rabbit
1399,Skylar,Astin,Actor,Pitch Perfect
1400,Jodie,Whittaker,Actress,Attack the Block
1401,William H.,Macy,Actor,Fargo
1402,Deborah Ann,Woll,Actress,Ruby Sparks
1403,Mia,Kirshner,Actress,Not Another Teen Movie
1404,Nancy,Carell,Actress,Seeking a Friend for the End of the World
1405,Collette,Wolfe,Actress,Interstellar
1406,Tom,Wilkinson,Actor,Batman Begins
1407,Thomas,McDonell,Actor,The Forbidden Kingdom
1408,Aishwarya Rai,Bachchan,Actress,Jodhaa Akbar
1409,Gene,Hackman,Actor,Unforgiven
1410,Busy,Philipps,Actress,White Chicks
1411,Trieste Kelly,Dunn,Actress,United 93
1412,Jeremy,Irvine,Actor,War Horse
1413,Ann-Margret,,Actress,Tommy
1414,Scott,Speedman,Actor,Underworld
1415,Charlie,McDermott,Actor,Frozen River
1416,BeyoncÃ©,Knowles,Soundtrack,Austin Powers in Goldmember
1417,Lisa,Rinna,Actress,Nick Fury: Agent of Shield
1418,John,Leguizamo,Actor,Ice Age
1419,Hannah,New,Actress,Maleficent
1420,Jay,Ryan,Actor,Pilot
1421,Trai,Byers,Actor,Selma
1422,Josh,Holloway,Actor,Mission: Impossible - Ghost Protocol
1423,Santiago,Cabrera,Actor,Chapter One 'Genesis'
1424,Madison,Lintz,Actress,Parental Guidance
1425,David,Lynch,Writer,Mulholland Dr.
1426,Joseph,Fiennes,Actor,Shakespeare in Love
1427,Justin,Berfield,Actor,Who's Your Daddy?
1428,Debra Jo,Rupp,Actress,She's Out of My League
1429,Adam,Brody,Actor,Mr. & Mrs. Smith
1430,John,Hurt,Actor,V for Vendetta
1431,Henry,Lloyd-Hughes,Actor,Harry Potter and the Goblet of Fire
1432,Susan,Yeagley,Actress,Blended
1433,Madison,Pettis,Actress,The Game Plan
1434,Natascha,McElhone,Actress,The Truman Show
1435,Grace,Park,Actress,The Plan
1436,Max,Casella,Actor,Inside Llewyn Davis
1437,Aimee,Garcia,Actress,RoboCop
1438,Jamie Lee,Curtis,Actress,True Lies
1439,Michael,McKean,Actor,This Is Spinal Tap
1440,Courtney,Thorne-Smith,Actress,Lucas
1441,Jessica,Szohr,Actress,The Internship
1442,Burt,Reynolds,Actor,Boogie Nights
1443,Zach,Roerig,Actor,Growing Pains
1444,Kaitlyn,Dever,Actress,J. Edgar
1445,Matthew,Macfadyen,Actor,Anna Karenina
1446,Nathalie,Emmanuel,Actress,The Rains of Castamere
1447,Eric,Roberts,Actor,The Dark Knight
1448,Scott,Porter,Actor,Music and Lyrics
1449,Eva Amurri,Martino,Actress,Saved!
1450,Gabourey,Sidibe,Actress,Precious
1451,Rory,McCann,Actor,Hot Fuzz
1452,Andie,MacDowell,Actress,Groundhog Day
1453,John Francis,Daley,Actor,Horrible Bosses
1454,Jeremy,Sumpter,Actor,Tomorrow Blues
1455,Ella,Purnell,Actress,Never Let Me Go
1456,Clancy,Brown,Actor,The Shawshank Redemption
1457,Joan,Allen,Actress,Face/Off
1458,Suki,Waterhouse,Actress,Love
1459,Matthew,Lewis,Actor,Harry Potter and the Sorcerer's Stone
1460,Bridget,Fonda,Actress,Jackie Brown
1461,H. Jon,Benjamin,Actor,Git to Gitten'
1462,AngÃ©lica,Celaya,Actress,A Feast of Friends
1463,Antony,Starr,Actor,The World's Fastest Indian
1464,Kevin,Zegers,Actor,The Mortal Instruments: City of Bones
1465,Pamela,Anderson,Actress,Scary Movie 3
1466,AdÃ¨le,Exarchopoulos,Actress,Blue Is the Warmest Color
1467,Aaron,Stanford,Actor,The Hills Have Eyes
1468,Steve,McQueen,Actor,The Great Escape
1469,Sibel,Kekilli,Actress,When We Leave
1470,Jamie,Blackley,Actor,If I Stay
1471,Dan,Gilroy,Writer,Nightcrawler
1472,Kat,Graham,Actress,17 Again
1473,Odeya,Rush,Actress,The Giver
1474,Vinnie,Jones,Actor,Snatch.
1475,Marla,Sokoloff,Actress,Dude
1476,Mark-Paul,Gosselaar,Actor,Dead Man on Campus
1477,Colin,Hanks,Actor,King Kong
1478,Richard,Attenborough,Actor,Jurassic Park
1479,John,Goodman,Actor,Monsters
1480,Catherine,Keener,Actress,Captain Phillips
1481,Neve,Campbell,Actress,Scream
1482,Sally,Hawkins,Actress,Happy-Go-Lucky
1483,Wilmer,Valderrama,Actor,Fast Food Nation
1484,Steve,Jobs,Thanks,WALLÂ·E
1485,Marie-JosÃ©e,Croze,Actress,The Diving Bell and the Butterfly
1486,Enver,Gjokaj,Actor,The Avengers
1487,Matthew,Rhys,Actor,Titus
1488,Michael,Shannon,Actor,Man of Steel
1489,Brendan,Gleeson,Actor,Edge of Tomorrow
1490,Tia,Carrere,Actress,True Lies
1491,David,Giuntoli,Actor,Pilot
1492,Cuba Gooding,Jr.,Actor,Jerry Maguire
1493,Sonequa,Martin-Green,Actress,Remember
1494,April,Bowlby,Actress,From Prada to Nada
1495,Demi,Lovato,Soundtrack,Frozen
1496,Dylan,McDermott,Actor,The Perks of Being a Wallflower
1497,Finn,Wittrock,Actor,Unbroken
1498,Eric Christian,Olsen,Actor,Fired Up!
1499,Bruce,Dern,Actor,Nebraska
1500,Christopher,Lee,Actor,The Lord of the Rings: The Fellowship of the Ring
1501,Michael,Gambon,Actor,Harry Potter and the Deathly Hallows: Part 2
1502,Natasha,Richardson,Actress,The Parent Trap
1503,Pedro,Pascal,Actor,The Adjustment Bureau
1504,Helen,Hunt,Actress,As Good as It Gets
1505,George,Blagden,Actor,Les MisÃ©rables
1506,Candice,Accola,Actress,Juno
1507,Ariana,Richards,Actress,Jurassic Park
1508,Jason,Ritter,Actor,Freddy vs. Jason
1509,Gene,Wilder,Actor,Young Frankenstein
1510,Lynsey,Bartilson,Actress,Mrs. Santa Claus
1511,Kim,Richards,Actress,Black Snake Moan
1512,John,Stamos,Actor,General Hospital
1513,Josh,Radnor,Actor,Liberal Arts
1514,Kunal,Nayyar,Actor,Ice Age: Continental Drift
1515,Michael,Ealy,Actor,Seven Pounds
1516,Katie,McGrath,Actress,A Princess for Christmas
1517,Sean Patrick,Flanery,Actor,The Boondock Saints
1518,Clea,DuVall,Actress,Argo
1519,Jesse,Spencer,Actor,Uptown Girls
1520,Ethan,Suplee,Actor,American History X
1521,Lea,Salonga,Actress,Mulan
1522,Marley,Shelton,Actress,Planet Terror
1523,Ken,Jeong,Actor,The Hangover
1524,Mike,Nichols,Director,Closer
1525,Michelle,Fairley,Actress,Harry Potter and the Deathly Hallows: Part 1
1526,Sydney,Penny,Actress,Pale Rider
1527,Jeff,Daniels,Actor,Dumb & Dumber
1528,Seann William,Scott,Actor,Role Models
1529,Max,Burkholder,Actor,The Purge
1530,Pablo,Schreiber,Actor,The Manchurian Candidate
1531,Frank,Grillo,Actor,Warrior
1532,Laurence,Fishburne,Actor,The Matrix
1533,Frances,McDormand,Actress,Fargo
1534,Kirk,Douglas,Actor,Spartacus
1535,Eva,Longoria,Actress,Harsh Times
1536,Kevin,Smith,Writer,Jay and Silent Bob Strike Back
1537,Felicia,Day,Writer,The Guild
1538,AJ,Michalka,Actress,Super 8
1539,Markice,Moore,Actor,ATL
1540,Chris,O'Donnell,Actor,Scent of a Woman
1541,Nicolas Winding,Refn,Director,Drive
1542,Rose,McIver,Actress,The Lovely Bones
1543,Leah,Remini,Actress,Old School
1544,Calista,Flockhart,Actress,Guiding Light
1545,Wesley,Snipes,Actor,Blade
1546,Maura,Tierney,Actress,Liar Liar
1547,David,Mazouz,Actor,Pilot
1548,William,Fichtner,Actor,The Dark Knight
1549,Natasha,Leggero,Actress,Let's Be Cops
1550,Ellen,Burstyn,Actress,Interstellar
1551,Casey,Affleck,Actor,Gone Baby Gone
1552,Alfred,Hitchcock,Director,Psycho
1553,Vincent,Kartheiser,Actor,The Chrysanthemum and the Sword
1554,Luke,Arnold,Actor,The Tunnel Movie
1555,Carlos,Pratts,Actor,McFarland
1556,Gina,Rodriguez,Actress,Filly Brown
1557,Leah,Pipes,Actress,Fingerprints
1558,Bernadette,Peters,Actress,Anastasia
1559,Tom,Hopper,Actor,Knights of Badassdom
1560,Jack,Huston,Actor,American Hustle
1561,Andrew,Scott,Actor,Saving Private Ryan
1562,Thomas Wilson,Brown,Actor,Honey
1563,Allison,Scagliotti,Actress,Redemption Maddie
1564,Teri,Polo,Actress,Meet the Parents
1565,Danneel,Ackles,Actress,Harold & Kumar Escape from Guantanamo Bay
1566,Jake,Johnson,Actor,Let's Be Cops
1567,Elizabeth,Daily,Actress,Pee-wee's Big Adventure
1568,Dennis,Quaid,Actor,The Day After Tomorrow
1569,Nolan,Gould,Actor,Friends with Benefits
1570,James,Caan,Actor,The Godfather
1571,Forest,Whitaker,Actor,Platoon
1572,Daniel,BrÃ_hl,Actor,Inglourious Basterds
1573,Joe,Pesci,Actor,Goodfellas
1574,Gaia,Weiss,Actress,The Legend of Hercules
1575,David,Boreanaz,Actor,Justice League: The New Frontier
1576,Shea,Whigham,Actor,Silver Linings Playbook
1577,Anita,Ekberg,Actress,La Dolce Vita
1578,Charlotte,Riley,Actress,Edge of Tomorrow
1579,Kevin,James,Actor,Here Comes the Boom
1580,Hayao,Miyazaki,Director,Spirited Away
1581,Jake,McDorman,Actor,Live Free or Die Hard
1582,Ksenia,Solo,Actress,Black Swan
1583,Olivia,Williams,Actress,The Sixth Sense
1584,Boyd,Holbrook,Actor,Gone Girl
1585,Peter,Jackson,Producer,The Lord of the Rings: The Fellowship of the Ring
1586,Ryan,Eggold,Actor,Bloom
1587,Dan,Aykroyd,Writer,Ghostbusters
1588,Shelley,Hennig,Actress,Ouija
1589,James,Dean,Actor,Rebel Without a Cause
1590,Karolina,Kurkova,Actress,G.I. Joe: The Rise of Cobra
1591,Aja Naomi,King,Actress,Four
1592,Beth,Behrs,Actress,Monsters University
1593,Joseph,Lawrence,Actor,Oliver & Company
1594,Christina,Milian,Actress,American Pie
1595,Adam,Goldberg,Actor,Saving Private Ryan
1596,Joseph,Kahn,Director,Torque
1597,Kathy,Bates,Actress,Titanic
1598,Ty,Burrell,Actor,The Incredible Hulk
1599,Vivica A.,Fox,Actress,Kill Bill: Vol. 2
1600,Jason,Gedrick,Actor,Backdraft
1601,Mark,Webber,Actor,Scott Pilgrim vs. the World
1602,Albert,Finney,Actor,Big Fish
1603,Maureen,McCormick,Actress,Teen Angel
1604,Andrew,McCarthy,Actor,Weekend at Bernie's
1605,Mark,Dacascos,Actor,Brotherhood of the Wolf
1606,Rachel,Dratch,Actress,Just Go with It
1607,Margo,Harshman,Actress,Keith
1608,Katie,Lowes,Actress,Big Hero 6
1609,Djimon,Hounsou,Actor,Gladiator
1610,Jason David,Frank,Actor,Mighty Morphin Power Rangers: The Movie
1611,Misha,Collins,Actor,Girl
1612,Mahershala,Ali,Actor,The Curious Case of Benjamin Button
1613,America,Ferrera,Actress,Pilot
1614,Gael GarcÃ_a,Bernal,Actor,Amores Perros
1615,Paul,Reiser,Actor,Aliens
1616,Kevin,McKidd,Actor,Trainspotting
1617,Jennifer,Beals,Actress,Flashdance
1618,Judd,Apatow,Producer,The 40-Year-Old Virgin
1619,Embeth,Davidtz,Actress,Schindler's List
1620,John C.,Reilly,Actor,Chicago
1621,Jake T.,Austin,Actor,Rio 2
1622,Emily,Wickersham,Actress,I Am Number Four
1623,Morten,Tyldum,Director,The Imitation Game
1624,Peter,Weller,Actor,RoboCop
1625,Erin,Cummings,Actress,Bitch Slap
1626,Bree,Turner,Actress,The Ugly Truth
1627,Tanya,Roberts,Actress,A View to a Kill
1628,Ellen,Barkin,Actress,Fear and Loathing in Las Vegas
1629,Mark,Rylance,Actor,The Other Boleyn Girl
1630,Matthew,Fox,Actor,World War Z
1631,Audrey,Tautou,Actress,AmÃ©lie
1632,Ellen,Greene,Actress,LÃ©on: The Professional
1633,Sharni,Vinson,Actress,You're Next
1634,Laura,Benanti,Actress,Take the Lead
1635,Alona,Tal,Actress,Broken City
1636,Bianca,Kajlich,Actress,10 Things I Hate About You
1637,Tom,Cavanagh,Actor,Bang Bang You're Dead
1638,William,Petersen,Actor,Manhunter
1639,Carmen,Electra,Actress,Scary Movie
1640,Seth,Green,Actor,The Italian Job
1641,Larisa,Oleynik,Actress,10 Things I Hate About You
1642,Michael,Angarano,Actor,Almost Famous
1643,Ashley,Olsen,Actress,New York Minute
1644,John,Noble,Actor,The Lord of the Rings: The Return of the King
1645,Farrah,Fawcett,Actress,Logan's Run
1646,Faye,Dunaway,Actress,Chinatown
1647,Jemima,Kirke,Actress,Tiny Furniture
1648,Peyton,List,Actress,Shuttle
1649,Camille,Guaty,Actress,Ghosts of Girlfriends Past
1650,Grace,Gummer,Actress,Frances Ha
1651,Bo,Derek,Actress,Tommy Boy
1652,ClÃ©mence,PoÃ©sy,Actress,Harry Potter and the Deathly Hallows: Part 2
1653,Krista,Allen,Actress,Anger Management
1654,Jeremy,Piven,Actor,Old School
1655,Diana,Bang,Actress,The Interview
1656,Michelle,Forbes,Actress,Super 8
1657,Sofia,Coppola,Writer,Somewhere
1658,Patrick,Stewart,Actor,X2
1659,Romola,Garai,Actress,Amazing Grace
1660,Majel,Barrett,Actress,General Hospital
1661,David,Morrissey,Actor,The Reaping
1662,Anthony,Mackie,Actor,The Hurt Locker
1663,Harvey,Keitel,Actor,Reservoir Dogs
1664,Anthony,Carrigan,Actor,Things You Can't Outrun
1665,Joan,Cusack,Actress,Working Girl
1666,Dominique,Swain,Actress,Face/Off
1667,Corbin,Bleu,Actor,High School Musical
1668,Rob,McElhenney,Writer,It's Always Sunny in Philadelphia
1669,Brit,Marling,Actress,Another Earth
1670,Jayma,Mays,Actress,Paul Blart: Mall Cop
1671,Lou,Ferrigno,Actor,The Incredible Hulk
1672,Rob,Corddry,Actor,Hot Tub Time Machine
1673,Liam,James,Actor,2012
1674,Nazanin,Boniadi,Actress,Iron Man
1675,Natalia,Tena,Actress,Harry Potter and the Order of the Phoenix
1676,Lorraine,Bracco,Actress,Goodfellas
1677,Morgan,Fairchild,Actress,The Seduction
1678,Angela,Lansbury,Actress,Beauty and the Beast
1679,Lennie,James,Actor,Snatch.
1680,Tessa,Thompson,Actress,Dear White People
1681,Lesley-Ann,Brandt,Actress,Past Transgressions
1682,Marilyn,Manson,Soundtrack,The Matrix
1683,Adam,DeVine,Writer,Workaholics
1684,Stan,Lee,Producer,Iron Man
1685,Amanda,Crew,Actress,Sex Drive
1686,Isaac Hempstead,Wright,Actor,The Awakening
1687,DJ,Qualls,Actor,Road Trip
1688,Bill,Pullman,Actor,Independence Day
1689,Tamla,Kari,Actress,The Inbetweeners Movie
1690,Christopher,Mintz-Plasse,Actor,Superbad
1691,Ella,Wahlestedt,Actress,Earth to Echo
1692,Judy,Garland,Soundtrack,The Wizard of Oz
1693,Sara,Foster,Actress,D.E.B.S.
1694,Britney,Spears,Soundtrack,Bridesmaids
1695,Kirstie,Alley,Actress,Look Who's Talking
1696,Alexis,Denisof,Actor,The Avengers
1697,Vince,Gilligan,Writer,Breaking Bad
1698,Alan,Alda,Actor,The Aviator
1699,Scott,Wilson,Actor,Monster
1700,Dean,Norris,Actor,Little Miss Sunshine
1701,Briana,Evigan,Actress,Step Up 2: The Streets
1702,Raymond,Cruz,Actor,Training Day
1703,Danica,McKellar,Actress,Tasmanian Devils
1704,Ryan,Newman,Actress,Monster House
1705,Annabeth,Gish,Actress,Mystic Pizza
1706,Phoebe,Fox,Actress,The Woman in Black 2: Angel of Death
1707,Meghan,Ory,Actress,Dark House
1708,Nick,Eversman,Actor,Wild
1709,Frances,O'Connor,Actress,A.I. Artificial Intelligence
1710,Erika,Eleniak,Actress,E.T. the Extra-Terrestrial
1711,Riker,Lynch,Self,Glee: The 3D Concert Movie
1712,Clark,Duke,Actor,Hot Tub Time Machine
1713,Katharine,Isabelle,Actress,Ginger Snaps
1714,Debra,Winger,Actress,Terms of Endearment
1715,David,Cronenberg,Director,The Fly
1716,Nikki,Blonsky,Actress,Hairspray
1717,Claire,Foy,Actress,Season of the Witch
1718,Kevin,Kline,Actor,A Fish Called Wanda
1719,Michelle,Schumacher,Actress,Junkyard Dawgs
1720,Diane,Ladd,Actress,Chinatown
1721,Brendan,Fehr,Actor,Guardians of the Galaxy
1722,Jeffrey,Combs,Actor,Re-Animator
1723,Aaron,Eckhart,Actor,The Dark Knight
1724,Eoin,Macken,Actor,Centurion
1725,Angela,Bassett,Actress,Meet the Robinsons
1726,Alison,Lohman,Actress,Drag Me to Hell
1727,Sarah,Drew,Actress,Radio
1728,Ray,Liotta,Actor,Goodfellas
1729,Jodelle,Ferland,Actress,Tideland
1730,Justin,Long,Actor,Live Free or Die Hard
1731,F. Murray,Abraham,Actor,The Grand Budapest Hotel
1732,Pawel,Pawlikowski,Director,Ida
1733,Constance,Zimmer,Actress,Chaos Theory
1734,Faith,Hill,Self,Here's to You
1735,Jodie-Amy,Rivera,Actress,Hocus Pocus
1736,Archie,Panjabi,Actress,Bend It Like Beckham
1737,Glenn,Close,Actress,Tarzan
1738,Brenda,Song,Actress,The Social Network
1739,Christine,Baranski,Actress,How the Grinch Stole Christmas
1740,Brad,Dourif,Actor,The Lord of the Rings: The Two Towers
1741,Natasha,Henstridge,Actress,Ghosts of Mars
1742,Jamie,Luner,Actress,Confessions of a Sorority Girl
1743,Janeane,Garofalo,Actress,Ratatouille
1744,Scott Michael,Foster,Actor,Teenage Dirtbag
1745,Ed,O'Neill,Actor,The Bone Collector
1746,Malcolm,McDowell,Actor,A Clockwork Orange
1747,Tyler,Posey,Actor,Maid in Manhattan
1748,Dot-Marie,Jones,Actress,The Boondock Saints
1749,Rick,Moranis,Actor,Ghostbusters
1750,Sara,Rue,Actress,The Ring
1751,Ana de la,Reguera,Actress,Nacho Libre
1752,Lance,Reddick,Actor,John Wick
1753,Aubrey,Peeples,Actress,Rage
1754,Michael Kenneth,Williams,Actor,12 Years a Slave
1755,Julia,Louis-Dreyfus,Actress,A Bug's Life
1756,Bart,Freundlich,Director,The Rebound
1757,Christopher,Meloni,Actor,Man of Steel
1758,Ice,Cube,Soundtrack,Friday
1759,Michelle,Borth,Actress,A Good Old Fashioned Orgy
1760,Laura,Fraser,Actress,A Knight's Tale
1761,Rob,Fuller,Actor,Insurgent
1762,Annette,Bening,Actress,American Beauty
1763,Matt,Frewer,Actor,Max Headroom
1764,Liam,Aiken,Actor,Road to Perdition
1765,Theo,Rossi,Actor,Cloverfield
1766,Lynda,Carter,Actress,Sky High
1767,Avan,Jogia,Actor,Rags
1768,Hank,Azaria,Actor,The Simpsons Movie
1769,Stephen,Lang,Actor,Avatar
1770,Daniel,Sharman,Actor,Immortals
1771,Amanda,Tapping,Actress,Stargate: Continuum
1772,Melora,Hardin,Actress,The Hot Chick
1773,T.R.,Knight,Actor,42
1774,Sandra,Oh,Actress,Sideways
1775,Keith,David,Actor,Platoon
1776,Peter,Fonda,Actor,Easy Rider
1777,Genevieve,Angelson,Actress,Top Five
1778,Alexis,Dziena,Actress,Nick and Norah's Infinite Playlist
1779,Sean,Pertwee,Actor,Equilibrium
1780,Olivia,Newton-John,Soundtrack,Grease
1781,Andy,Garcia,Actor,The Godfather: Part III
1782,Frances,Conroy,Actress,The Aviator
1783,C. Thomas,Howell,Actor,E.T. the Extra-Terrestrial
1784,Rachel,Hurd-Wood,Actress,Peter Pan
1785,Tyler,Perry,Director,Temptation: Confessions of a Marriage Counselor
1786,Shannon,Elizabeth,Actress,American Pie 2
1787,Lauren,German,Actress,Hostel: Part II
1788,India,Eisley,Actress,Underworld: Awakening
1789,Christopher,Eccleston,Actor,The Others
1790,Chris,Tucker,Actor,Silver Linings Playbook
1791,Ki Hong,Lee,Actor,The Maze Runner
1792,Serinda,Swan,Actress,TRON: Legacy
1793,Antje,Traue,Actress,Man of Steel
1794,Oliver,Hudson,Actor,Grown Ups 2
1795,Joely,Richardson,Actress,The Patriot
1796,Lauren,Ambrose,Actress,Can't Hardly Wait
1797,Shemar,Moore,Actor,Diary of a Mad Black Woman
1798,Adam,Rodriguez,Actor,Magic Mike
1799,Chelsea,Peretti,Self,Chelsea Peretti: One of the Greats
1800,Jesse,Plemons,Actor,Battleship
1801,Steve,Talley,Actor,American Pie Presents Beta House
1802,Marcia,Cross,Actress,One Life to Live
1803,Teri,Garr,Actress,Close Encounters of the Third Kind
1804,Cortney,Palm,Actress,Zombeavers
1805,Martin,Sheen,Actor,Apocalypse Now
1806,Hannah,Murray,Actress,Dark Shadows
1807,Mel,Brooks,Actor,The Producers
1808,Kerris,Dorsey,Actress,Moneyball
1809,Elden,Henson,Actor,The Butterfly Effect
1810,Pamela,Adlon,Actress,Say Anything...
1811,Jeremy Allen,White,Actor,Afterschool
1812,Beverly,D'Angelo,Actress,American History X
1813,Robert,Wagner,Actor,Austin Powers: The Spy Who Shagged Me
1814,Gia,Mantegna,Actress,The Frozen Ground
1815,Justin,Chambers,Actor,The Wedding Planner
1816,Italia,Ricci,Actress,Don Jon
1817,Josh,Charles,Actor,Dead Poets Society
1818,Crystal,Reed,Actress,Crazy
1819,Sam,Riley,Actor,Control
1820,Bitsie,Tulloch,Actress,The Artist
1821,Daveigh,Chase,Actress,Donnie Darko
1822,Anjelica,Huston,Actress,The Royal Tenenbaums
1823,Luke,Goss,Actor,Hellboy II: The Golden Army
1824,Alexa,Davalos,Actress,The Chronicles of Riddick
1825,Nichelle,Nichols,Actress,Star Trek II: The Wrath of Khan
1826,Lindsey,Shaw,Actress,Enslaved: Odyssey to the West
1827,Rue,McClanahan,Actress,Starship Troopers
1828,Dove,Cameron,Actress,Cloud 9
1829,Brighton,Sharbino,Actress,Cheap Thrills
1830,Eric,Stonestreet,Actor,Almost Famous
1831,Matthew,Lillard,Actor,Scooby-Doo
1832,Scott,Bakula,Actor,American Beauty
1833,Warren,Beatty,Actor,Bonnie and Clyde
1834,Keegan Connor,Tracy,Actress,Final Destination 2
1835,Jean-Luc,Bilodeau,Actor,LOL
1836,Kate,Mulgrew,Actress,Throw Momma from the Train
1837,Katharine,Hepburn,Actress,Bringing Up Baby
1838,Monica,Raymund,Actress,Arbitrage
1839,Lauren Lee,Smith,Actress,Trick 'r Treat
1840,Richard,Dreyfuss,Actor,Close Encounters of the Third Kind
1841,Steven,Strait,Actor,10
1842,Joel,Coen,Producer,No Country for Old Men
1843,Lindsay,Duncan,Actress,About Time
1844,Justin,Bieber,Self,Justin Bieber: Never Say Never
1845,Olivia,Grant,Actress,Stardust
1846,William,Baldwin,Actor,Backdraft
1847,Lara,Pulver,Actress,Edge of Tomorrow
1848,Jason,Clarke,Actor,Zero Dark Thirty
1849,David,Cross,Actor,Eternal Sunshine of the Spotless Mind
1850,Alanna,Ubach,Actress,Meet the Fockers
1851,Sam,Neill,Actor,Jurassic Park
1852,Denis,Villeneuve,Director,Prisoners
1853,Tyler James,Williams,Actor,Dear White People
1854,Adrian,Grenier,Actor,Porn Scenes from an Italian Restaurant
1855,Michael,PeÃ±a,Actor,Shooter
1856,Ana de,Armas,Actress,Sex
1857,Neal,McDonough,Actor,Minority Report
1858,Ernie Reyes,Jr.,Actor,The Rundown
1859,Billy,Campbell,Actor,The Rocketeer
1860,Darren,Criss,Actor,Mooning and Crooning
1861,Matt,Ryan,Actor,Assassin's Creed IV: Black Flag
1862,Katrina,Bowden,Actress,Tucker and Dale vs. Evil
1863,Jet,Li,Actor,Hero
1864,Sami,Gayle,Actress,Noah
1865,Paz,Vega,Actress,Sex and Lucia
1866,Jessica,Capshaw,Actress,Minority Report
1867,Steven,Seagal,Producer,Under Siege
1868,Nestor,Carbonell,Actor,The Dark Knight
1869,Rory,Cochrane,Actor,Argo
1870,Maiara,Walsh,Actress,The Starving Games
1871,Elaine,Stritch,Actress,One Life to Live
1872,Cory,Monteith,Actor,Monte Carlo
1873,Meaghan,Rath,Actress,Cyberbully
1874,Jamie-Lynn,Sigler,Actress,Dark Ride
1875,Ophelia,Lovibond,Actress,Guardians of the Galaxy
1876,Michele,Carey,Actress,El Dorado
1877,Aamir,Khan,Actor,3 Idiots
1878,Naomi,Campbell,Self,Ali G Indahouse
1879,Hana Mae,Lee,Actress,Pitch Perfect
1880,Jessica,Simpson,Self,The Master of Disguise
1881,Elyes,Gabel,Actor,World War Z
1882,Kristin Scott,Thomas,Actress,The English Patient
1883,Riley,Keough,Actress,The Runaways
1884,Mimi,Rogers,Actress,Austin Powers: International Man of Mystery
1885,EsmÃ©,Bianco,Actress,A Christmas Mystery
1886,Charles,Chaplin,Writer,Modern Times
1887,Amber,Rose,Self,Amber Rose
1888,Julia,Ormond,Actress,The Curious Case of Benjamin Button
1889,Zack,Snyder,Director,300
1890,David,Ayer,Writer,Fury
1891,James,Lafferty,Actor,Oculus
1892,Penelope,Wilton,Actress,Match Point
1893,Alison,Pill,Actress,Scott Pilgrim vs. the World
1894,Aileen,Quinn,Actress,Annie
1895,Derek,Theler,Actor,Pilot
1896,Chadwick,Boseman,Actor,42
1897,Estella,Warren,Actress,Planet of the Apes
1898,Justine,Bateman,Actress,Satisfaction
1899,Matt,Lanter,Actor,Disaster Movie
1900,Diana,Rigg,Actress,On Her Majesty's Secret Service
1901,Stefanie,Powers,Actress,McLintock!
1902,Laura,Linney,Actress,The Truman Show
1903,Eli,Roth,Producer,Grindhouse
1904,Maitland,Ward,Actress,White Chicks
1905,Jon,Voight,Actor,Mission: Impossible
1906,Autumn,Reeser,Actress,The Girl Next Door
1907,G.,Hannelius,Actress,Den Brother
1908,Natalie,Morales,Actress,Going the Distance
1909,Kyle,Chandler,Actor,The Wolf of Wall Street
1910,Linda,Fiorentino,Actress,Men in Black
1911,Billy,Brown,Actor,Star Trek
1912,Jodie,Sweetin,Actress,Jim Henson Presents Mother Goose Stories
1913,Tamsin,Egerton,Actress,Love
1914,Jaeden,Lieberher,Actor,St. Vincent
1915,Anne,Bancroft,Actress,The Graduate
1916,Melissa,Fumero,Actress,The House That Jack Built
1917,Dominik,GarcÃ_a-Lorido,Actress,Wild Card
1918,Michael Jai,White,Actor,The Dark Knight
1919,Izabella,Miko,Actress,Clash of the Titans
1920,Inna,Korobkina,Actress,Dawn of the Dead
1921,Stockard,Channing,Actress,Grease
1922,Jennette,McCurdy,Actress,Swindle
1923,Casper Van,Dien,Actor,Starship Troopers
1924,Matt,Dillon,Actor,There's Something About Mary
1925,Beth,Broderick,Actress,Revenge of the Bridesmaids
1926,Joel,McHale,Actor,Ted
1927,Troy,Baker,Actor,The Last of Us
1928,Patrick,Fabian,Actor,The Last Exorcism
1929,Harry,Hamlin,Actor,Clash of the Titans
1930,Gerald,McRaney,Actor,The NeverEnding Story
1931,Craig,Parker,Actor,The Lord of the Rings: The Fellowship of the Ring
1932,Franka,Potente,Actress,The Bourne Identity
1933,Sela,Ward,Actress,The Fugitive
